Sl. No,Theme,Action,Brief Description of Activity,
338,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
339,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
340,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
341,Energy Saved,Use LED bulbs/ tube-lights,BPCL displayed LiFE logo and creatives at Retail Outlets of Northern Region during month of January 2023.,
342,Water Saved,Do not discard unused stored water every time there is fresh water coming in taps,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 29th March, 2023 #ChooseLiFE #ProPlanetPeople",
343,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,Cleaning of College/School surroundings and also adopted villages.,
344,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 30th March, 2023 #ChooseLiFE #ProPlanetPeople",
345,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 31st March, 2023 #ChooseLiFE #ProPlanetPeople",
346,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 05th April, 2023 #ChooseLiFE #ProPlanetPeople",
347,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 06th April, 2023. #ChooseLiFE #ProPlanetPeople",
348,Water Saved,Pre-soak heavy pots and pans before washing them,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 07th April, 2023. #ChooseLiFE #ProPlanetPeople",
349,Energy Saved,Use bicycles for local or short commute,USE BICYCLES,
350,Water Saved,Pre-soak heavy pots and pans before washing them,WATER SAVING,
351,Sustainable Food Systems Adopted,"Include millets in diets through Anganwadi, Mid-Day meal and PD scheme","Lifestyle for Environment 🌏🌿

Sustainable Food Systems Adopted: Prefer locally available seasonal foods 🍊🥦🌽🍅",
352,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Lifestyle for Environment🌏🌿

Single Use Plastic Reduced: Carry your own bottle wherever possible.",
353,Energy Saved,Use bicycles for local or short commute,"Lifestyle for Environment 🌏🌿

Energy Saved: Use bicycles for local or short commute 🚲",
354,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 01st April, 2023 #ChooseLiFE #ProPlanetPeople",
355,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 02nd April, 2023 #ChooseLiFE #ProPlanetPeople",
356,Water Saved,Reuse water from washed vegetables to water plants and other purpose,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 4th April, 2023 #ChooseLiFE #ProPlanetPeople",
357,Water Saved,Do not discard unused stored water every time there is fresh water coming in taps,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 08th April, 2023. #ChooseLiFE #ProPlanetPeople",
358,Water Saved,Use buckets instead of hose pipes to water plants/ floors/ vehicles,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 09th April, 2023. #ChooseLiFE #ProPlanetPeople",
359,Water Saved,"Fix leaks in flushes, taps and waterpipes","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Green pledge, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 11th April, 2023 #ChooseLiFE #ProPlanetPeople",
360,Water Saved,"Use water-efficient fixtures for taps, and showerheads, and toilet flush units","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 12th April, 2023 #ChooseLiFE #ProPlanetPeople",
361,Water Saved,Invest in a water meter for your house to measure water consumption regularly,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 13th April, 2023. #ChooseLiFE #ProPlanetPeople",
362,Water Saved,"Reuse water drained out from AC/RO for cleaning utensils, watering plants and others","RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 14th April, 2023. #ChooseLiFE #ProPlanetPeople",
363,Water Saved,Prefer a water purification system that wastes less water,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 15th April, 2023. #ChooseLiFE #ProPlanetPeople",
364,Water Saved,Create rainwater harvesting infrastructure in home/ schools/ offices,"RMNH, Bhopal- @NMNHIndia @moefcc organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 16th April, 2023. #ChooseLiFE #ProPlanetPeople",
365,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
366,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
367,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
368,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
369,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
370,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
371,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
372,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
373,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
374,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
375,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
376,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
377,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
378,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
379,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
380,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
381,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
382,Waste Reduced (Swachhata Actions),Do not discard waste in water bodies and in public spaces,"To create awareness among people to ensure waste management and mitigate water pollution due to waste littering during puja ceremonies / rituals, “Save Rivers Campaign” was organised by J&K Pollution Control Committee, Jammu to coincide with “Holy Sakh Visarjan” in collaboration with various NGOs, Municipal bodies, students / scholars from various city colleges, Jammu University (Department of Environmental Sciences & Sociology), staff of J&K Pollution Control Committee in five major districts of Jammu & Kashmir.",
383,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Paradip Refinery installs ‘Cloth bag vending machine’ at PDR Township Shopping Complex, where user can dispense cloth bag at a nominal cost.",
384,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,"Paradip Refinery installs ‘Cloth bag vending machine’ at PDR Township Shopping Complex, where user can dispense cloth bag at a nominal cost.",
385,Energy Saved,Use LED bulbs/ tube-lights,test test test test test test,
386,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",test the flow,
387,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",test the flow,
388,Waste Reduced (Swachhata Actions),"Contribute cattle waste, food waste, and agricultural waste to biogas plant (provided under GOBARDHAN)",test the flow,
389,Energy Saved,Take the stairs instead of an elevator wherever possible,test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil test by sahil,
390,Single-Use Plastic Reduced,Use menstrual cups instead of sanitary napkins,test,
391,Energy Saved,Use LED bulbs/ tube-lights,"On 10 May 2023, Awareness camp was conducted at Indian Oil Ahmednagar Depot outside Maingate on all the themes of Mission-Life activities. Shri S.P.Kashyapi, CDM, P.S.Jagtap, Sr.Mgr and Vikas Pable, DSO emphasised on following activities for the contract Labours, TT Drivers, Security Personnels etc. Approx 150 participants were present in the awareness camp activity.",
392,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
393,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
394,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
395,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
396,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
397,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
398,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
399,Energy Saved,Use LED bulbs/ tube-lights,Opening remark on Mission Life Campaign,
400,LiFEStyles Adopted,Prefer consuming natural or organic products,Yoga session,
401,LiFEStyles Adopted,Prefer consuming natural or organic products,Yoga session,
402,LiFEStyles Adopted,Prefer consuming natural or organic products,Yoga session,
403,LiFEStyles Adopted,Prefer consuming natural or organic products,Yoga session,
404,LiFEStyles Adopted,Prefer consuming natural or organic products,Yoga session,
405,LiFEStyles Adopted,Prefer consuming natural or organic products,Yoga session,
406,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture",Seminar on Sustainable Living Choices,
407,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture",Seminar on Sustainable Living Choices,
408,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture",Seminar on Sustainable Living Choices,
409,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture",Seminar on Sustainable Living Choices,
410,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture",Seminar on Sustainable Living Choices,
411,Waste Reduced (Swachhata Actions),"Repair, reuse and recycle old furniture",Seminar on Sustainable Living Choices,
412,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,Cleanliness Drive,
413,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,Cleanliness Drive,
414,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,Cleanliness Drive,
415,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,Cleanliness Drive,
416,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,Cleanliness Drive,
417,Waste Reduced (Swachhata Actions),Start biodiversity conservation at community level,Cleanliness Drive,
418,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
419,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
420,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
421,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
422,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
423,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
424,LiFEStyles Adopted,Plant trees to reduce the impact of pollution,Tree Plantation,
425,Energy Saved,Use LED bulbs/ tube-lights,"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",01-Jun-23
"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",,,,
426,Energy Saved,Use LED bulbs/ tube-lights,"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",01-Jun-23
"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",,,,
427,Energy Saved,Use LED bulbs/ tube-lights,"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",01-Jun-23
"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",,,,
428,Energy Saved,Use LED bulbs/ tube-lights,"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",01-Jun-23
"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",,,,
429,Energy Saved,Use LED bulbs/ tube-lights,"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",01-Jun-23
"YOU WANT TO CHANGE THE WORLD, START WITH YOURSELF",,,,
430,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
431,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
432,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
433,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
434,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
435,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
436,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
437,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
438,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
439,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
440,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
441,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
442,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
443,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
444,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
445,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
446,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
447,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
448,Energy Saved,"Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises","Plant medicinal plants such as neem, tulsi, giloy, mint, curry leaves, ashwagandha, curry leaves etc. within household premises. 
Plant trees to reduce the impact of pollution.",
449,Energy Saved,Use LED bulbs/ tube-lights,"SSG PAREEK P.G. GIRLS COLLEGE, CHOMU",
450,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,प्लास्टिक प्रदूषण का समाधान,
451,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,प्लास्टिक प्रदूषण का समाधान,
452,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,प्लास्टिक प्रदूषण का समाधान,
453,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,प्लास्टिक प्रदूषण का समाधान,
454,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,पलास्टिक प्रदूषण का समाधान,
455,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,पलास्टिक प्रदूषण का समाधान,
456,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,पलास्टिक प्रदूषण का समाधान,
457,Single-Use Plastic Reduced,Use cloth bag for shopping instead of plastic bags,पलास्टिक प्रदूषण का समाधान,
458,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
459,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
460,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
461,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
462,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
463,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
464,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
465,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
466,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
467,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
468,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
469,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
470,Energy Saved,Use LED bulbs/ tube-lights,"“India-Bhutan Friendship Tree Plantation Drive” and Environment Pledge on June 05, 2023",
471,Energy Saved,Use LED bulbs/ tube-lights,Save Nature Save Life,
472,Energy Saved,Use LED bulbs/ tube-lights,Save Nature Save Life,
473,Energy Saved,Use LED bulbs/ tube-lights,Save Nature Save Life,
474,Energy Saved,Use LED bulbs/ tube-lights,Save Nature Save Life,
475,Energy Saved,Use LED bulbs/ tube-lights,MISSION LIFE,
